ESTBAN (Documento 4500) por municipio ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data de geracao dos dados: 2023-07-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#DATA_BASE;UF;CODMUN;MUNICIPIO;CNPJ;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_110_DISPONIBILIDADES;VERBETE_111_CAIXA;VERBETE_112_DEPOSITOS_BANCARIOS;VERBETE_113_BACEN_RESERV_BANC_EM_ESPECIE;VERBETE_120_APLIC_INTERFINANC_DE_LIQUIDEZ;VERBETE_130_TIT_E_VAL_MOB_E_INST_FIN_DERIV;VERBETE_140_REL_INTERFINANC_E_INTERDEPEND;VERBETE_141_CORRESPONDENTES_NO_EXTERIOR + VERBETE_142_CORRESPONDENTES_NO_PAIS;"VERBETE_144_COBRANCA_EM_TRANSITO + VERBETE_145_ORDENS_DE_PAGAMENTO	+ VERBETE_146_VAL_LIGADAS_E_TERC_EM_TRANSITO + VERBETE_147_DEPENDENCIAS_NO_PAIS	+ VERBETE_152_SUPRIMENTOS_INTERDEPENDENCIAS";VERBETE_158_OUTR_REL_INTERF_E_INTERDEPEND;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_171_OUTRAS_OPERACOES_DE_CREDITO;VERBETE_172_OUTROS_CREDITOS;VERBETE_174_PROV_P/_OPER_CREDITOS;VERBETE_176_OPERACOES_ESPECIAIS;VERBETE_180_ARRENDAMENTO_MERCANTIL;VERBETE_184_PROV_P/OPER_ARR_MERCANTIL;VERBETE_190_OUTROS_VALORES_E_BENS;VERBETE_200_PERMANENTE;VERBETE_399_TOTAL_DO_ATIVO;VERBETE_401_SERVICOS_PUBLICOS + VERBETE_402_ATIVIDADES_EMPRESARIAIS + VERBETE_403_ESPECIAIS_DO_TESOURO_NACIONAL + VERBETE_404_SALDOS_CREDORES_EM_CONTAS_DE_EMPRESTIMOS_E_FINAN + VERBETE_411_DE_PESSOAS_FISICAS + VERBETE_412_DE_PESSOAS_JURIDICAS + VERBETE_413_DE_INSTITUICOES_FINANCEIRAS + VERBETE_414_JUDICIAIS + VERBETE_415_OBRIGATORIOS + VERBETE_416_PARA_INVESTIMENTOS + VERBETE_417_VINCULADOS + VERBETE_418_DEMAIS_DEPOSITOS + VERBETE_419_SLD_CRED_CTAS_EMPR_FINANC_OUTR;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_430_DEPOSITOS_INTERIFNANCEIROS;VERBETE_431_DEPOSITOS_INTERFINANCEIROS;VERBETE_432_DEPOSITOS_A_PRAZO;VERBETE_433_CAPTACEOS_NO_MERCADO_ABERTO;VERBETE_440_REL_INTERFINANC_E_INTERDEPEND;VERBETE_441_CORRESPONDENTES_NO_EXTERIOR + VERBETE_442_CORRESPONDENTES_NO_PAIS;VERBETE_444_COBRANCA_EM_TRANSITO + VERBETE_445_ORDENS_DE_PAGAMENTO + VERBETE_446_VAL_DE_LIG_E_TERC_EM_TRANSITO + VERBETE_447_DEPENDENCIAS_NO_PAIS + VERBETE_456_SUPRIM_INTERDEPARTAMENTAIS + VERBETE_458_OUTR_REL_INTERFIN_INTERDEPEND;VERBETE_460_OBRIG_POR_EMP_E_REPASSES;VERBETE_461_BANCO_CENTRAL_ASSISTENCIA_FINANCEIRA + VERBETE_467_OPERACOES_ESPECIAIS + VERBETE_468_OUTR_OBRIG_POR_EMPR_E_REPASSES;VERBETE_470_INST_FINANCEIROS_DERIVATIVOS;VERBETE_480_OBRIGACOES_POR_RECEBIMENTO;VERBETE_481_IOF + VERBETE_482_CONTRIBUICOES_PREVIDENCIARIAS + VERBETE_483_TRIBUTOS_ESTAD_E_MUNICIPAIS + VERBETE_484_TRIBUTOS_FEDERAIS + VERBETE_485_FGTS + VERBETE_487_DEMAIS_RECEBIMENTOS;VERBETE_490_CHEQUES_ADMINISTRATIVOS + VERBETE_500_OUTRAS_OBRIGACOES;VERBETE_610_PATRIMONIO_LIQUIDO;VERBETE_710_CONTAS_DE_RESULTADO;VERBETE_711_CONTAS_CREDORAS;VERBETE_712_CONTAS_DEVEDORAS;";";CODMUN_IBGE
202212;PI;10739;PARNAIBA;60701190;ITA  UNIBANCO S.A.;1;1;625988;625988;0;0;0;0;6284610;0;6284610;0;22116832;21795300;617434;0;0;0;0;0;-295902;0;0;0;0;2167;29029597;1149757;5914859;20369960;0;20369960;0;0;0;0;0;0;0;13;13;0;0;1595008;4025558;-2430550;29029597;2207702
202212;PI;10739;PARNAIBA;60746948;BCO BRADESCO S.A.;1;1;3322201;3322201;0;0;0;0;66655566;0;66518833;136733;4514398;3683082;0;541112;0;0;0;290204;0;0;0;0;0;0;74492165;6001724;23549997;38324106;0;38324106;0;2573200;0;2573200;0;0;0;0;0;1570997;0;2472141;3503162;-1031022;74492165;2207702
202212;PI;10739;PARNAIBA;90400888;BCO SANTANDER (BRASIL) S.A.;1;1;1244634;1244634;0;0;0;0;1195691;0;0;1195691;47343030;51135464;4886280;0;0;0;0;17091;-8695805;0;0;0;0;0;49783355;606651;892700;8217757;0;8217757;0;34360122;0;34360122;0;0;0;25010;25010;61781;0;5619335;10358491;-4739156;49783355;2207702
202212;PI;11044;SAO JOAO DO PIAUI;00000000;BCO DO BRASIL S.A.;1;1;2062448;2062448;0;0;0;0;4994101;6041;4988060;0;115656920;93496228;1331499;9717701;0;973228;0;10138265;0;0;0;0;23497;0;122736966;12863120;45093371;9336499;0;9336499;0;42672399;0;42672399;0;0;75;34779;34779;1565148;0;11171574;14091233;-2919658;122736966;2210003
202212;PI;11044;SAO JOAO DO PIAUI;00360305;CAIXA ECONOMICA FEDERAL;1;1;3031189;3031189;0;0;0;0;-18412143;254951;0;-18667095;61205771;52657035;75077;254957;0;10579199;0;0;-2360497;0;0;0;0;0;45824816;2440194;36166834;633318;0;633318;0;160788;400;160388;0;0;0;30333;30332;3873617;0;2519733;5631096;-3111364;45824816;2210003
202212;PI;11044;SAO JOAO DO PIAUI;07237373;BCO DO NORDESTE DO BRASIL S.A.;1;1;681627;681627;0;0;0;0;0;0;0;0;18579645;18360716;144376;23425;0;0;0;51128;0;0;0;0;2695;0;19263966;3643840;439042;1251937;0;1251937;0;10181509;0;10181509;0;0;0;2635;2635;332598;0;3412406;5064702;-1652296;19263966;2210003
202212;PI;11044;SAO JOAO DO PIAUI;60746948;BCO BRADESCO S.A.;1;1;1353222;1353222;0;0;0;0;14593612;0;14593612;0;690060;456499;0;176567;0;0;0;56994;0;0;0;0;0;0;16636894;1507116;10544004;2181449;0;2181449;0;1223703;0;1223703;0;0;0;0;0;117751;0;1062871;1376082;-313211;16636894;2210003
202212;PI;11831;TERESINA;00000000;BCO DO BRASIL S.A.;19;19;19152445;18234286;918159;0;0;6764806;685279639;138772;685140574;293;5726011076;2685212086;1873956639;227191209;245;268830987;1406656;669845038;-431783;0;0;0;793164;47028008;6485029138;892443279;1451502187;1225661149;0;1225661149;0;2376582595;0;2376582594;30132;30132;1566;6395759;6395759;92467763;0;439944708;612254035;-172309327;6485029138;2211001
202212;PI;11831;TERESINA;00360305;CAIXA ECONOMICA FEDERAL;11;11;105739262;105739262;0;0;0;0;-1902809176;2267307;0;-1905076483;5893631508;1393970541;6480272;177434375;0;4368142923;15262420;171164762;-238823786;0;0;0;7799654;0;4104361248;266066244;2646487993;508889027;0;508889027;0;7462962;145290;7317672;0;0;0;1680921;1680921;482798806;0;190975297;406293190;-215317893;4104361248;2211001
202212;PI;11831;TERESINA;07237373;BCO DO NORDESTE DO BRASIL S.A.;3;3;741164;741164;0;0;0;0;0;0;0;0;455678932;317503176;47664756;67098937;0;22173367;0;1238696;0;0;0;0;136;0;456420232;83510759;11519864;169550483;0;169550483;0;115664856;0;115664856;0;0;0;1786006;1786006;5115849;0;69272416;97164515;-27892098;456420232;2211001
202212;PI;11831;TERESINA;60701190;ITA  UNIBANCO S.A.;4;4;4323714;4323714;0;0;0;0;266247493;0;266247493;0;344844725;334190626;12079066;1004668;0;0;0;583179;-3012814;0;0;0;152;4117;615420201;23579964;72433040;492023767;0;492023767;0;57052;0;57053;0;0;0;666;666;44586;0;27281127;62568797;-35287670;615420201;2211001
202212;PI;11831;TERESINA;60746948;BCO BRADESCO S.A.;4;4;10334152;10334152;0;0;0;0;785308151;0;785133707;174444;29128382;27192967;0;501536;0;0;0;1433879;0;0;0;0;0;0;824770685;35314099;136522371;602336014;0;602336014;0;4054927;0;4054927;0;0;0;0;0;32623219;0;13920055;18269415;-4349361;824770685;2211001
