"Tabela 1554 - Pessoas de 10 anos ou mais de idade, por nível de instrução - Resultados Gerais da Amostra"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Município","Ano","Nível de instrução"
"Município","Ano","Total","Sem instrução e fundamental incompleto","Fundamental completo e médio incompleto","Médio completo e superior incompleto","Superior completo","Não determinado"
"Altamira (PA)","2010","79787","47335","14966","13944","3162","380"
"Anajás (PA)","2010","17519","14992","1549","782","154","43"
"Ananindeua (PA)","2010","394224","163319","86151","122303","20459","1991"
"Anapu (PA)","2010","15676","12064","1999","1295","252","66"
"Augusto Corrêa (PA)","2010","30482","23916","3998","2268","271","28"
"Aurora do Pará (PA)","2010","20831","16121","2627","1687","303","93"
"Aveiro (PA)","2010","11846","8440","2205","956","147","98"
"Bagre (PA)","2010","17104","14284","1583","1067","103","67"
"Baião (PA)","2010","28543","19252","4203","4320","539","229"
"Bannach (PA)","2010","2720","2044","300","326","35","15"
"Barcarena (PA)","2010","79283","42629","16915","17044","2585","110"
"Belém (PA)","2010","1188026","455026","232027","370234","123915","6823"
"Belterra (PA)","2010","12609","8660","1842","1866","241","-"
"Benevides (PA)","2010","41882","22106","9243","9119","1255","158"
"Bom Jesus do Tocantins (PA)","2010","12301","8990","1546","1442","290","34"
"Bonito (PA)","2010","10685","7855","1574","1128","102","26"
"Bragança (PA)","2010","89337","58974","13362","14265","2498","237"
"Brasil Novo (PA)","2010","12669","9184","2022","1227","213","23"
"Brejo Grande do Araguaia (PA)","2010","5766","3938","906","777","127","18"
"Breu Branco (PA)","2010","40098","30089","5464","3995","505","45"
"Breves (PA)","2010","68244","55185","6624","5244","1141","50"
"Bujaru (PA)","2010","19496","13541","3450","2280","151","73"
"Cachoeira do Piriá (PA)","2010","19197","16211","1548","1326","70","42"
"Cachoeira do Arari (PA)","2010","16064","12029","2465","1307","179","84"
"Cametá (PA)","2010","93278","62899","14793","13594","1823","169"
"Canaã dos Carajás (PA)","2010","21005","11959","3887","4262","648","250"
"Capanema (PA)","2010","52396","30113","9789","10996","1318","180"
"Capitão Poço (PA)","2010","41170","31579","4734","4087","678","91"
"Castanhal (PA)","2010","141833","75424","28367","31863","5608","570"
"Chaves (PA)","2010","15366","13670","1267","234","119","76"
"Colares (PA)","2010","9018","5816","1662","1379","159","-"
"Conceição do Araguaia (PA)","2010","36993","22643","6200","6479","1527","144"
"Concórdia do Pará (PA)","2010","21708","15353","3575","2458","284","38"
"Cumaru do Norte (PA)","2010","8273","6724","944","452","114","38"
"Curionópolis (PA)","2010","14703","9540","2587","2237","278","60"
"Curralinho (PA)","2010","20277","16712","1947","1278","290","51"
"Curuá (PA)","2010","9015","6246","1408","1070","266","25"
"Curuçá (PA)","2010","27220","18136","4633","4086","225","139"
"Dom Eliseu (PA)","2010","40377","26973","7221","4982","1008","192"
"Eldorado do Carajás (PA)","2010","24691","19175","3054","2020","344","97"
"Faro (PA)","2010","6094","4210","986","751","134","13"
"Floresta do Araguaia (PA)","2010","14069","10283","1883","1507","356","41"
"Garrafão do Norte (PA)","2010","19198","15205","2140","1472","289","91"
"Goianésia do Pará (PA)","2010","23974","18161","3133","2307","351","22"
"Gurupá (PA)","2010","21234","17088","2521","1450","166","10"
"Igarapé-Açu (PA)","2010","29047","19168","4597","4519","533","230"
"Igarapé-Miri (PA)","2010","45035","33651","5727","4773","677","208"
"Inhangapi (PA)","2010","8033","5477","1266","1121","137","32"
"Ipixuna do Pará (PA)","2010","39954","33084","4378","1995","435","61"
"Irituia (PA)","2010","24427","18244","3317","2513","347","6"
"Itaituba (PA)","2010","78396","50100","15404","10524","2052","316"
"Itupiranga (PA)","2010","39246","30165","4673","3585","527","297"
"Jacareacanga (PA)","2010","10780","8990","978","664","95","52"
"Jacundá (PA)","2010","41222","27394","6949","5998","699","182"
"Juruti (PA)","2010","34834","23550","5828","4744","605","108"
"Limoeiro do Ajuru (PA)","2010","18792","13965","2243","2129","396","58"
"Mãe do Rio (PA)","2010","22041","15472","2772","3100","561","137"
"Magalhães Barata (PA)","2010","6408","4303","1023","987","83","11"
