"Tabela 1554 - Pessoas de 10 anos ou mais de idade, por nível de instrução - Resultados Gerais da Amostra"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Município","Ano","Nível de instrução"
"Município","Ano","Total","Sem instrução e fundamental incompleto","Fundamental completo e médio incompleto","Médio completo e superior incompleto","Superior completo","Não determinado"
"Bom Despacho (MG)","2010","39428","20410","6871","8392","3564","192"
"Bom Jardim de Minas (MG)","2010","5695","3614","731","1082","256","14"
"Bom Jesus da Penha (MG)","2010","3405","2010","624","600","171","-"
"Bom Jesus do Amparo (MG)","2010","4724","2860","917","725","182","40"
"Bom Jesus do Galho (MG)","2010","13227","9368","1982","1440","355","81"
"Bom Repouso (MG)","2010","9011","6409","1075","1147","363","17"
"Bom Sucesso (MG)","2010","15060","8802","2638","2799","768","52"
"Bonfim (MG)","2010","6128","4622","751","563","171","20"
"Bonfinópolis de Minas (MG)","2010","5015","3043","803","915","217","37"
"Bonito de Minas (MG)","2010","7815","6043","897","510","241","124"
"Borda da Mata (MG)","2010","15071","8596","2709","2692","1041","33"
"Botelhos (MG)","2010","13020","8433","2128","1736","646","77"
"Botumirim (MG)","2010","5334","3581","945","670","121","17"
"Brasilândia de Minas (MG)","2010","11548","7378","1741","1923","327","179"
"Brasília de Minas (MG)","2010","26424","16651","4400","4147","1226","-"
"Brás Pires (MG)","2010","4006","2891","527","451","125","14"
"Braúnas (MG)","2010","4357","3250","582","383","132","10"
"Brazópolis (MG)","2010","12791","7858","2066","1992","742","133"
"Brumadinho (MG)","2010","29408","15823","4992","5864","2578","152"
"Bueno Brandão (MG)","2010","9585","7041","1158","906","469","10"
"Buenópolis (MG)","2010","8886","5555","1173","1664","464","30"
"Bugre (MG)","2010","3382","2435","554","333","54","5"
"Buritis (MG)","2010","18647","11612","3055","3021","880","79"
"Buritizeiro (MG)","2010","21961","14529","3438","3379","503","112"
"Cabeceira Grande (MG)","2010","5354","3581","895","668","166","45"
"Cabo Verde (MG)","2010","12007","8103","1796","1563","514","31"
"Cachoeira da Prata (MG)","2010","3240","1572","563","906","195","5"
"Cachoeira de Minas (MG)","2010","9519","5532","1594","1854","519","20"
"Cachoeira Dourada (MG)","2010","2151","1224","344","413","170","-"
"Caetanópolis (MG)","2010","9021","5215","1731","1646","390","39"
"Caeté (MG)","2010","35085","17586","5982","9329","2104","84"
"Caiana (MG)","2010","4223","3075","534","475","137","3"
"Cajuri (MG)","2010","3538","2443","518","424","139","15"
"Caldas (MG)","2010","11973","8079","1912","1372","580","30"
"Camacho (MG)","2010","2758","1762","339","542","108","6"
"Camanducaia (MG)","2010","18117","12019","2879","2188","915","115"
"Cambuí (MG)","2010","23374","12465","4165","5253","1479","12"
"Cambuquira (MG)","2010","10957","6368","1725","2073","731","60"
"Campanário (MG)","2010","3018","2136","334","388","136","23"
"Campanha (MG)","2010","13313","7919","2045","2307","987","56"
"Campestre (MG)","2010","18110","11923","2782","2436","824","145"
"Campina Verde (MG)","2010","16994","10368","2991","2338","1041","257"
"Campo Azul (MG)","2010","3086","2134","456","387","65","44"
"Campo Belo (MG)","2010","45186","26655","8382","7074","2905","170"
"Campo do Meio (MG)","2010","9872","6080","1495","1664","628","5"
"Campo Florido (MG)","2010","5750","3675","867","905","300","3"
"Campos Altos (MG)","2010","11959","7460","1970","1752","743","34"
"Campos Gerais (MG)","2010","23529","15027","3728","3445","1282","47"
"Canaã (MG)","2010","4061","2895","504","521","141","-"
"Canápolis (MG)","2010","9896","6307","1426","1651","486","26"
"Cana Verde (MG)","2010","4864","3445","587","553","280","-"
"Candeias (MG)","2010","12997","8917","1634","1782","626","37"
"Cantagalo (MG)","2010","3508","2348","560","500","93","7"
"Caparaó (MG)","2010","4349","3156","607","461","116","9"
"Capela Nova (MG)","2010","4187","2813","683","530","130","31"
"Capelinha (MG)","2010","28607","18976","4475","3873","1088","195"
"Capetinga (MG)","2010","6072","3997","1073","681","315","6"
"Capim Branco (MG)","2010","7655","4285","1330","1780","233","27"
"Capinópolis (MG)","2010","13126","7647","2518","2133","785","43"
"Capitão Andrade (MG)","2010","4087","3000","535","389","107","56"
"Capitão Enéas (MG)","2010","11600","7293","2054","1902","346","5"
"Capitólio (MG)","2010","7159","4166","1474","1133","361","24"
"Caputira (MG)","2010","7578","5679","900","802","191","7"
"Caraí (MG)","2010","17995","14109","1936","1036","468","447"
"Caranaíba (MG)","2010","2865","2012","372","416","64","-"
"Carandaí (MG)","2010","20178","11836","2860","4470","949","62"
"Carangola (MG)","2010","28112","16840","4101","5118","1996","57"
"Caratinga (MG)","2010","72800","42525","12100","12882","4946","347"
"Carbonita (MG)","2010","7773","5224","1304","1016","214","16"
"Careaçu (MG)","2010","5357","3350","777","971","259","-"
"Carlos Chagas (MG)","2010","17401","11674","2359","2746","540","82"
"Carmésia (MG)","2010","2062","1408","250","312","84","8"
"Carmo da Cachoeira (MG)","2010","10000","6520","1479","1458","488","55"
"Carmo da Mata (MG)","2010","9525","6148","1407","1455","503","12"
"Carmo de Minas (MG)","2010","11610","7503","1600","1750","661","94"
"Carmo do Cajuru (MG)","2010","17361","10529","2663","2951","1092","126"
"Carmo do Paranaíba (MG)","2010","25930","16576","3578","4278","1439","59"
"Carmo do Rio Claro (MG)","2010","17700","9824","3298","3437","1018","124"
"Carmópolis de Minas (MG)","2010","14767","9383","2460","2200","593","131"
"Carneirinho (MG)","2010","8242","4879","1197","1457","650","59"
"Carrancas (MG)","2010","3419","1978","544","687","211","-"
"Carvalhópolis (MG)","2010","2901","1673","518","547","160","2"
"Carvalhos (MG)","2010","4089","2956","452","558","120","3"
"Casa Grande (MG)","2010","1948","1268","312","315","52","-"
"Cascalho Rico (MG)","2010","2489","1520","489","373","101","6"
"Cássia (MG)","2010","15077","9453","2226","2361","987","50"
"Conceição da Barra de Minas (MG)","2010","3464","2267","566","528","103","-"
"Cataguases (MG)","2010","61518","30366","10919","14959","5148","127"
"Catas Altas (MG)","2010","4117","2395","663","864","153","42"
"Catas Altas da Noruega (MG)","2010","2977","2245","333","312","83","3"
"Catuji (MG)","2010","5420","4253","558","429","118","61"
"Catuti (MG)","2010","4277","3044","545","543","142","3"
"Caxambu (MG)","2010","18976","9633","3283","4288","1691","80"
"Cedro do Abaeté (MG)","2010","1063","697","159","146","50","11"
"Central de Minas (MG)","2010","5848","4045","970","657","174","3"
"Centralina (MG)","2010","8923","5577","1769","1248","314","16"
"Chácara (MG)","2010","2466","1627","490","208","131","10"
"Chalé (MG)","2010","4870","3150","673","848","176","24"
"Chapada do Norte (MG)","2010","12461","9374","1687","1030","340","30"
"Chapada Gaúcha (MG)","2010","8627","5549","1416","1157","404","101"
"Chiador (MG)","2010","2394","1519","316","431","125","3"
"Cipotânea (MG)","2010","5722","4362","710","405","246","-"
"Claraval (MG)","2010","3858","2385","827","526","110","10"
"Claro dos Poções (MG)","2010","6726","4026","1115","1336","218","30"
"Cláudio (MG)","2010","22180","13215","4216","3335","1363","51"
"Coimbra (MG)","2010","6127","4130","831","894","271","-"
"Coluna (MG)","2010","7524","5693","860","744","197","30"
"Comendador Gomes (MG)","2010","2506","1497","506","388","112","3"
"Comercinho (MG)","2010","7018","5322","746","670","209","71"
"Conceição da Aparecida (MG)","2010","8366","5489","1404","1118","350","6"
"Conceição das Pedras (MG)","2010","2408","1614","361","351","78","5"
"Conceição das Alagoas (MG)","2010","19393","11590","3800","2928","1009","66"
"Conceição de Ipanema (MG)","2010","3845","2661","479","544","162","-"
"Conceição do Mato Dentro (MG)","2010","14945","10183","2416","1807","481","58"
"Conceição do Pará (MG)","2010","4453","2754","717","814","143","25"
"Conceição do Rio Verde (MG)","2010","11009","7093","1898","1326","665","28"
"Conceição dos Ouros (MG)","2010","8870","5277","1673","1441","459","22"
"Cônego Marinho (MG)","2010","5922","3987","1026","756","132","20"
"Confins (MG)","2010","5158","2459","980","1429","274","15"
"Congonhal (MG)","2010","9202","5552","1456","1733","461","-"
"Congonhas (MG)","2010","41896","20177","7615","10628","3174","303"
"Congonhas do Norte (MG)","2010","4150","3077","477","426","120","51"
"Conquista (MG)","2010","5623","3148","1014","1027","414","20"
"Conselheiro Lafaiete (MG)","2010","101546","45491","17291","29642","8780","342"
"Conselheiro Pena (MG)","2010","18973","12622","2811","2688","795","58"
"Consolação (MG)","2010","1503","1024","202","243","34","-"
"Contagem (MG)","2010","522255","223573","99192","157168","35309","7013"
"Coqueiral (MG)","2010","8041","5095","1217","1376","340","13"
"Coração de Jesus (MG)","2010","21985","14151","3377","3642","730","85"
"Cordisburgo (MG)","2010","7609","4858","1179","1236","313","23"
"Cordislândia (MG)","2010","2899","1943","425","422","105","5"
"Corinto (MG)","2010","20487","12257","3212","3532","927","560"
"Coroaci (MG)","2010","8810","6207","1215","1114","236","38"
"Coromandel (MG)","2010","24031","14860","3540","4363","1136","132"
"Coronel Fabriciano (MG)","2010","89253","41312","17924","23620","5783","614"
"Coronel Murta (MG)","2010","7753","5208","1148","1172","211","14"
"Coronel Pacheco (MG)","2010","2636","1649","436","432","110","9"
"Coronel Xavier Chaves (MG)","2010","2872","1862","395","427","166","22"
"Córrego Danta (MG)","2010","2969","1865","414","486","176","29"
"Córrego do Bom Jesus (MG)","2010","3340","2109","452","575","189","14"
"Córrego Fundo (MG)","2010","5037","3193","900","746","193","5"
"Córrego Novo (MG)","2010","2643","1844","457","222","83","37"
"Couto de Magalhães de Minas (MG)","2010","3587","2200","613","552","214","8"
"Crisólita (MG)","2010","4997","3776","719","360","52","90"
"Cristais (MG)","2010","9708","6439","1796","1102","363","9"
"Cristália (MG)","2010","4427","3018","686","506","96","121"
"Cristiano Otoni (MG)","2010","4253","2598","663","824","168","-"
"Cristina (MG)","2010","8859","5817","1446","1172","370","55"
"Crucilândia (MG)","2010","4145","2990","490","501","160","3"
"Cruzeiro da Fortaleza (MG)","2010","3328","2156","468","548","146","10"
"Cruzília (MG)","2010","12712","7995","1894","1998","779","45"
"Cuparaque (MG)","2010","3948","2764","541","467","135","41"
"Curral de Dentro (MG)","2010","5649","4198","790","502","150","9"
"Curvelo (MG)","2010","63727","35536","11480","12777","3603","331"
"Datas (MG)","2010","4406","3037","571","633","148","18"
"Delfim Moreira (MG)","2010","6919","4433","1062","1059","347","18"
"Delfinópolis (MG)","2010","5876","3121","1272","1173","281","29"
"Delta (MG)","2010","6613","4619","970","784","132","108"
"Descoberto (MG)","2010","4169","2694","645","665","158","8"
"Desterro de Entre Rios (MG)","2010","6176","4404","757","861","146","7"
"Desterro do Melo (MG)","2010","2676","2013","264","282","117","-"
"Diamantina (MG)","2010","39347","21022","6447","8398","3429","50"
"Diogo de Vasconcelos (MG)","2010","3287","2546","356","276","106","4"
"Dionísio (MG)","2010","7684","4646","1236","1510","267","25"
"Divinésia (MG)","2010","2788","1845","405","423","97","17"
"Divino (MG)","2010","16037","11787","1901","1404","813","132"
"Divino das Laranjeiras (MG)","2010","4230","2787","807","491","128","18"
"Divinolândia de Minas (MG)","2010","5911","4112","868","704","209","18"
"Divinópolis (MG)","2010","186693","84023","35532","47792","18494","853"
"Divisa Alegre (MG)","2010","4702","3252","636","576","188","50"
"Divisa Nova (MG)","2010","4887","3290","708","687","202","-"
"Divisópolis (MG)","2010","7557","5405","1008","931","206","6"
"Dom Bosco (MG)","2010","3243","2080","594","465","93","11"
"Dom Cavati (MG)","2010","4524","2819","717","677","274","35"
"Dom Joaquim (MG)","2010","3846","2800","444","418","164","21"
"Dom Silvério (MG)","2010","4647","2869","606","885","231","57"
"Dom Viçoso (MG)","2010","2645","1677","443","424","98","3"
"Dona Euzébia (MG)","2010","5211","3237","881","858","234","-"
"Dores de Campos (MG)","2010","8127","5060","1222","1422","407","15"
"Dores de Guanhães (MG)","2010","4435","3211","543","426","252","3"
"Dores do Indaiá (MG)","2010","12124","6919","2069","2474","653","10"
"Dores do Turvo (MG)","2010","3898","2837","539","399","115","7"
"Doresópolis (MG)","2010","1241","712","313","155","53","8"
"Douradoquara (MG)","2010","1620","984","325","234","76","-"
"Durandé (MG)","2010","6194","4363","887","719","188","37"
"Elói Mendes (MG)","2010","21540","13236","3530","3425","1148","202"
"Engenheiro Caldas (MG)","2010","8647","5982","1166","1116","338","44"
"Engenheiro Navarro (MG)","2010","6038","3750","1202","957","126","2"
"Entre Folhas (MG)","2010","4456","3131","648","535","142","-"
"Entre Rios de Minas (MG)","2010","12458","7932","1831","1941","683","72"
"Ervália (MG)","2010","15432","11224","1902","1683","618","5"
"Esmeraldas (MG)","2010","50254","31627","9223","7827","1316","261"
"Espera Feliz (MG)","2010","19499","13226","3037","2149","1049","38"
"Espinosa (MG)","2010","26373","17411","4245","4113","495","110"
"Espírito Santo do Dourado (MG)","2010","3936","2619","677","491","112","37"
"Estiva (MG)","2010","9500","6314","1436","1415","335","-"
"Estrela Dalva (MG)","2010","2152","1380","303","356","113","-"
"Estrela do Indaiá (MG)","2010","3095","2156","371","367","198","3"
"Estrela do Sul (MG)","2010","6439","3960","987","1118","335","40"
"Eugenópolis (MG)","2010","9197","5801","1286","1719","368","23"
"Ewbank da Câmara (MG)","2010","3212","1970","543","606","70","23"
"Extrema (MG)","2010","24673","13087","4494","5285","1679","129"
"Fama (MG)","2010","2066","1230","370","310","125","31"
"Faria Lemos (MG)","2010","2904","1714","420","547","183","40"
"Felício dos Santos (MG)","2010","4308","3187","540","488","87","6"
"São Gonçalo do Rio Preto (MG)","2010","2591","1704","497","282","105","2"
"Felisburgo (MG)","2010","5818","4295","574","541","253","154"
"Felixlândia (MG)","2010","12106","8203","1856","1535","485","27"
"Fernandes Tourinho (MG)","2010","2612","1748","453","311","96","4"
"Ferros (MG)","2010","9296","7251","846","739","379","81"
"Fervedouro (MG)","2010","8630","6706","1010","639","197","79"
"Florestal (MG)","2010","5729","3178","935","1172","443","1"
"Formiga (MG)","2010","57625","29884","11147","12257","4226","111"
"Formoso (MG)","2010","6733","4374","1022","1076","217","44"
"Fortaleza de Minas (MG)","2010","3530","2120","581","638","179","13"
"Fortuna de Minas (MG)","2010","2322","1378","403","417","95","29"
"Francisco Badaró (MG)","2010","8910","6264","1389","1025","197","35"
"Francisco Dumont (MG)","2010","4054","2773","661","471","141","9"
"Francisco Sá (MG)","2010","20952","13753","3126","3365","597","112"
"Franciscópolis (MG)","2010","4802","3529","544","502","136","92"
"Frei Gaspar (MG)","2010","4851","3591","619","523","115","3"
"Frei Inocêncio (MG)","2010","7457","4735","1282","1123","297","20"
"Frei Lagonegro (MG)","2010","2749","2207","301","198","43","-"
"Fronteira (MG)","2010","11775","7233","1899","2100","530","12"
"Fronteira dos Vales (MG)","2010","3938","2845","482","455","120","35"
"Fruta de Leite (MG)","2010","4748","3816","535","302","79","15"
"Frutal (MG)","2010","46538","25315","9461","8351","3296","115"
"Funilândia (MG)","2010","3223","2168","418","568","53","15"
"Galiléia (MG)","2010","5918","4038","856","807","204","14"
"Gameleiras (MG)","2010","4393","2804","671","787","123","7"
"Glaucilândia (MG)","2010","2528","1521","369","584","54","-"
"Goiabeira (MG)","2010","2586","1747","376","373","90","-"
"Goianá (MG)","2010","3192","1788","482","749","165","8"
"Gonçalves (MG)","2010","3694","2490","551","508","134","11"
"Gonzaga (MG)","2010","4957","3595","678","519","141","23"
"Gouveia (MG)","2010","10134","6152","1842","1643","474","23"
"Governador Valadares (MG)","2010","225625","112828","41311","53182","16763","1541"
"Grão Mogol (MG)","2010","12510","8980","1768","1378","356","29"
"Grupiara (MG)","2010","1194","665","151","295","83","-"
"Guanhães (MG)","2010","26840","16915","3876","4820","1212","17"
"Guapé (MG)","2010","12006","7705","1846","1927","511","18"
"Guaraciaba (MG)","2010","8957","6473","1106","932","336","110"
"Guaraciama (MG)","2010","4018","2308","709","886","114","-"
"Guaranésia (MG)","2010","16408","9908","2777","2775","895","53"
"Guarani (MG)","2010","7611","4947","1038","1208","407","12"
"Guarará (MG)","2010","3397","2245","573","455","100","25"
"Guarda-Mor (MG)","2010","5571","3550","886","854","252","29"
"Guaxupé (MG)","2010","43372","22193","8115","8809","4069","186"
"Guidoval (MG)","2010","6318","4137","1064","880","231","6"
"Guimarânia (MG)","2010","6200","3732","1023","998","319","128"
"Guiricema (MG)","2010","7716","5193","1109","1074","335","4"
"Gurinhatã (MG)","2010","5422","3637","790","681","244","70"
"Heliodora (MG)","2010","5311","3528","954","567","256","6"
"Iapu (MG)","2010","8916","6250","1321","1045","283","17"
"Ibertioga (MG)","2010","4375","3067","538","617","145","9"
"Ibiá (MG)","2010","20104","12317","3519","3081","960","227"
"Ibiaí (MG)","2010","6472","4596","841","735","190","110"
"Ibiracatu (MG)","2010","5137","3793","689","501","149","5"
"Ibiraci (MG)","2010","10301","5980","2108","1647","560","7"
"Ibirité (MG)","2010","133414","74289","26351","27435","2989","2350"
"Ibitiúra de Minas (MG)","2010","2954","1871","490","427","126","41"
"Ibituruna (MG)","2010","2422","1536","350","453","83","-"
"Icaraí de Minas (MG)","2010","8862","5749","1392","1366","277","77"
"Igarapé (MG)","2010","29391","17283","5254","5565","1182","108"
"Igaratinga (MG)","2010","7874","5611","1126","904","194","40"
"Iguatama (MG)","2010","7164","4021","1243","1336","553","10"
"Ijaci (MG)","2010","5019","2858","731","1198","215","18"
"Ilicínea (MG)","2010","9832","6322","1686","1389","413","22"
"Imbé de Minas (MG)","2010","5378","4330","632","232","127","57"
"Inconfidentes (MG)","2010","6134","3917","938","920","320","39"
"Indaiabira (MG)","2010","6199","4644","781","584","153","37"
"Indianópolis (MG)","2010","5232","3426","852","769","183","3"
"Ingaí (MG)","2010","2269","1442","380","321","126","-"
"Inhapim (MG)","2010","20945","14501","3001","2355","976","112"
"Inhaúma (MG)","2010","4956","2749","1024","1045","125","13"
"Inimutaba (MG)","2010","5813","3777","949","934","150","4"
"Ipaba (MG)","2010","13860","8768","2225","2549","308","10"
"Ipanema (MG)","2010","15702","9885","2496","2580","729","12"
"Ipatinga (MG)","2010","206983","87925","41944","57585","17798","1732"
"Ipiaçu (MG)","2010","3591","2206","630","607","144","4"
"Ipuiúna (MG)","2010","8281","5806","1089","978","404","4"
"Iraí de Minas (MG)","2010","5498","3468","875","868","288","-"
"Itabira (MG)","2010","95178","44970","17076","25114","7134","883"
"Itabirinha (MG)","2010","9169","5917","1707","1203","289","54"
"Itabirito (MG)","2010","39316","19284","7544","9436","2845","207"
"Itacambira (MG)","2010","4255","2622","738","674","170","51"
"Itacarambi (MG)","2010","14465","9238","2151","2223","793","60"
"Itaguara (MG)","2010","10816","6958","1411","1776","653","19"
"Itaipé (MG)","2010","9478","7199","1159","826","285","10"
"Itajubá (MG)","2010","79242","32363","14126","22813","9479","461"
"Itamarandiba (MG)","2010","26432","16896","5130","3373","825","208"
"Itamarati de Minas (MG)","2010","3674","2289","581","590","199","15"
"Itambacuri (MG)","2010","19027","12805","2901","2342","829","149"
"Itambé do Mato Dentro (MG)","2010","2007","1404","277","267","56","3"
"Itamogi (MG)","2010","9068","5989","1322","1316","400","40"
"Itamonte (MG)","2010","12118","7025","1963","2253","794","82"
"Itanhandu (MG)","2010","12271","6429","2499","2375","951","18"
"Itanhomi (MG)","2010","10158","7002","1480","1209","408","59"
"Itaobim (MG)","2010","17715","12103","2302","2619","671","19"
"Itapagipe (MG)","2010","12211","7056","1872","2410","766","107"
"Itapecerica (MG)","2010","18960","10945","2768","4177","1070","-"
"Itapeva (MG)","2010","7497","4355","1706","1106","308","23"
"Itatiaiuçu (MG)","2010","8493","5538","1281","1407","199","67"
"Itaú de Minas (MG)","2010","13025","6226","2198","3647","944","10"
"Itaúna (MG)","2010","74932","36789","13601","17685","6555","301"
"Itaverava (MG)","2010","4921","3625","671","511","85","30"
"Itinga (MG)","2010","11949","8767","1512","1205","438","26"
"Itueta (MG)","2010","5039","3787","656","480","113","4"
"Ituiutaba (MG)","2010","85227","44359","16484","17205","6842","337"
"Itumirim (MG)","2010","5361","2942","953","1278","186","2"
"Iturama (MG)","2010","29835","15267","5978","6170","2248","172"
"Itutinga (MG)","2010","3431","1981","602","657","168","24"
"Jaboticatubas (MG)","2010","14791","9653","2226","2118","731","65"
"Jacinto (MG)","2010","10245","7412","1243","1219","324","48"
"Jacuí (MG)","2010","6503","4494","758","996","240","14"
"Jacutinga (MG)","2010","19612","11217","3495","3490","1291","119"
"Jaguaraçu (MG)","2010","2576","1653","358","478","60","26"
"Jaíba (MG)","2010","27245","18011","4497","3557","849","332"
"Jampruca (MG)","2010","4256","3104","469","541","109","33"
"Janaúba (MG)","2010","56134","31615","9295","11759","3334","131"
"Januária (MG)","2010","53806","32165","8372","9640","3130","499"
"Japaraíba (MG)","2010","3321","1917","609","627","164","3"
"Japonvar (MG)","2010","7014","4788","1161","911","155","-"
"Jeceaba (MG)","2010","4749","3247","631","676","168","25"
"Jenipapo de Minas (MG)","2010","5851","4061","883","690","195","22"
"Jequeri (MG)","2010","11101","8411","1294","1003","360","32"
"Jequitaí (MG)","2010","6864","4514","1064","1012","274","-"
"Jequitibá (MG)","2010","4476","3083","720","461","147","66"
"Jequitinhonha (MG)","2010","20067","14244","2569","2210","885","160"
"Jesuânia (MG)","2010","4194","2980","661","392","160","-"
"Joaíma (MG)","2010","12235","9148","1190","1277","462","158"
"Joanésia (MG)","2010","4764","3556","661","425","115","8"
"João Monlevade (MG)","2010","64231","29234","12012","17913","4865","207"
"João Pinheiro (MG)","2010","38261","21923","7104","7121","1805","308"
"Joaquim Felício (MG)","2010","3682","2629","427","507","113","6"
"Jordânia (MG)","2010","8697","6028","1051","1238","366","14"
"José Gonçalves de Minas (MG)","2010","3771","2491","592","561","120","8"
"José Raydan (MG)","2010","3686","2730","400","445","94","17"
"Josenópolis (MG)","2010","3641","2768","488","291","77","17"
"Nova União (MG)","2010","4753","3158","686","707","149","53"
"Juatuba (MG)","2010","18690","10108","3257","4347","831","147"
"Juiz de Fora (MG)","2010","455555","183285","81232","128643","61055","1341"
"Juramento (MG)","2010","3507","2052","673","694","75","13"
"Juruaia (MG)","2010","8000","5291","1267","1079","295","68"
"Juvenília (MG)","2010","4663","3186","605","581","183","107"
"Ladainha (MG)","2010","13637","10597","1493","1104","314","129"
"Lagamar (MG)","2010","6667","3940","1055","1363","263","47"
"Lagoa da Prata (MG)","2010","39653","21888","7176","7619","2490","481"
"Lagoa dos Patos (MG)","2010","3543","2339","452","627","117","8"
"Lagoa Dourada (MG)","2010","10361","7230","1219","1497","335","80"
"Lagoa Formosa (MG)","2010","15020","9816","2321","2313","559","11"
"Lagoa Grande (MG)","2010","7306","4723","1043","1182","332","26"
"Lagoa Santa (MG)","2010","45229","19749","8564","11995","4807","114"
"Lajinha (MG)","2010","16556","10991","2467","2304","684","110"
"Lambari (MG)","2010","16809","9905","2688","2909","1167","139"
"Lamim (MG)","2010","2961","2013","374","437","103","33"
"Laranjal (MG)","2010","5748","3280","882","1247","317","22"
"Lassance (MG)","2010","5410","3782","817","592","134","86"
"Lavras (MG)","2010","80674","34707","13732","21916","9967","350"
"Leandro Ferreira (MG)","2010","2747","1771","469","342","151","15"
"Leme do Prado (MG)","2010","4007","2386","703","708","210","-"
"Leopoldina (MG)","2010","44578","23791","8776","8949","2971","92"
"Liberdade (MG)","2010","4732","3243","726","482","260","21"
"Lima Duarte (MG)","2010","14079","8686","2116","2461","757","59"
"Limeira do Oeste (MG)","2010","5983","3430","1019","1101","408","24"
"Lontra (MG)","2010","7071","4496","1061","1125","375","14"
"Luisburgo (MG)","2010","5209","3945","622","481","114","46"
"Luislândia (MG)","2010","5233","3790","675","574","108","85"
"Luminárias (MG)","2010","4659","3044","689","685","235","7"
"Luz (MG)","2010","15270","8745","2464","2755","1241","65"
"Machacalis (MG)","2010","5846","3871","773","1022","179","-"
"Machado (MG)","2010","33074","19331","5557","5409","2684","92"
"Madre de Deus de Minas (MG)","2010","4307","2482","702","834","244","46"
"Malacacheta (MG)","2010","15833","10973","2330","1793","651","85"
"Mamonas (MG)","2010","5557","4060","728","699","70","-"
"Manga (MG)","2010","16108","10883","2464","2084","545","131"
"Manhuaçu (MG)","2010","66552","40631","10538","11733","3379","271"
"Manhumirim (MG)","2010","18136","11070","2867","3128","1046","24"
"Mantena (MG)","2010","23362","14526","4071","3356","1211","197"
"Maravilhas (MG)","2010","6079","3938","838","1026","276","-"
"Mar de Espanha (MG)","2010","10348","6510","1735","1548","549","6"
"Maria da Fé (MG)","2010","12186","7273","2128","2154","564","67"
"Mariana (MG)","2010","46427","21522","8902","11850","3972","180"
"Marilac (MG)","2010","3522","2511","504","427","69","11"
"Mário Campos (MG)","2010","11053","6565","1968","2072","295","154"
"Maripá de Minas (MG)","2010","2452","1631","398","318","105","-"
"Marliéria (MG)","2010","3427","2296","511","512","100","7"
"Marmelópolis (MG)","2010","2610","1735","492","204","101","78"
"Martinho Campos (MG)","2010","10912","7349","1472","1500","552","38"
"Martins Soares (MG)","2010","5986","4150","956","771","101","9"
"Mata Verde (MG)","2010","6602","4843","886","658","203","11"
"Materlândia (MG)","2010","3897","2886","420","454","128","8"
"Mateus Leme (MG)","2010","23577","13286","4111","4420","1320","439"
"Matias Barbosa (MG)","2010","11721","6614","2053","2323","702","30"
"Matias Cardoso (MG)","2010","7956","5532","1283","854","195","93"
"Matipó (MG)","2010","14530","10443","1877","1581","569","61"
"Mato Verde (MG)","2010","10973","7028","1674","1794","460","16"
"Matozinhos (MG)","2010","29115","14639","6074","7016","1226","160"
"Matutina (MG)","2010","3334","2256","560","352","130","35"
"Medeiros (MG)","2010","2966","2004","412","400","151","-"
"Medina (MG)","2010","17589","12523","1911","2259","766","131"
"Mendes Pimentel (MG)","2010","5493","3884","716","622","217","54"
"Mercês (MG)","2010","9041","6108","1276","1159","461","36"
"Mesquita (MG)","2010","5261","3631","745","716","150","19"
"Minas Novas (MG)","2010","25540","17183","4143","3053","974","187"
"Minduri (MG)","2010","3324","2049","586","549","135","5"
"Mirabela (MG)","2010","11038","6762","1801","1870","367","238"
"Miradouro (MG)","2010","8839","6081","1051","1270","416","21"
"Miraí (MG)","2010","11915","7663","1641","2002","575","33"
"Miravânia (MG)","2010","3699","2680","486","375","137","23"
"Moeda (MG)","2010","4043","2857","548","526","96","16"
"Moema (MG)","2010","6029","3453","810","1234","520","12"
"Monjolos (MG)","2010","1990","1298","260","331","101","-"
"Monsenhor Paulo (MG)","2010","6999","3976","1173","1409","397","44"
"Montalvânia (MG)","2010","13294","9249","1867","1513","483","181"
"Monte Alegre de Minas (MG)","2010","17134","11308","2537","2306","771","211"
"Monte Azul (MG)","2010","19259","12374","2930","3048","791","116"
"Monte Belo (MG)","2010","11461","7678","1624","1462","579","117"
"Monte Carmelo (MG)","2010","39537","23156","6896","6350","2723","412"
"Monte Formoso (MG)","2010","3634","2868","490","182","69","25"
"Monte Santo de Minas (MG)","2010","18627","11470","2896","3168","1063","30"
"Montes Claros (MG)","2010","308936","127260","53508","97940","29599","629"
"Monte Sião (MG)","2010","18422","11232","3371","2912","858","48"
"Montezuma (MG)","2010","6149","4668","734","618","118","10"
"Morada Nova de Minas (MG)","2010","7146","4546","967","1185","395","52"
"Morro da Garça (MG)","2010","2257","1470","475","205","107","-"
"Morro do Pilar (MG)","2010","2953","2247","308","338","56","4"
"Munhoz (MG)","2010","5361","3739","731","662","226","3"
"Muriaé (MG)","2010","87934","48646","14907","17305","6440","636"
"Mutum (MG)","2010","22742","15845","3111","2719","993","73"
"Muzambinho (MG)","2010","17885","9326","3402","3506","1488","162"
"Nacip Raydan (MG)","2010","2653","2081","255","215","46","57"
"Nanuque (MG)","2010","34768","19395","5959","7404","1860","150"
"Naque (MG)","2010","5345","3279","865","1026","149","25"
"Natalândia (MG)","2010","2755","1841","463","353","87","11"
"Natércia (MG)","2010","4135","2509","623","754","211","39"
