"Tabela 1685 - Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
"Município","Ano","Variável"
"Município","Ano","Número de unidades locais (Unidades)","Número de empresas e outras organizações atuantes (Unidades)","Pessoal ocupado total (Pessoas)","Pessoal ocupado assalariado (Pessoas)","Pessoal assalariado médio (Pessoas)","Salários e outras remunerações (Mil Reais)","Salário médio mensal (Salários mínimos)","Salário médio mensal em reais (Reais)"
"Careiro (AM)","2021","152","143","2050","1911","1981.57","58131","2.1","2256.61"
"Careiro da Várzea (AM)","2021","63","63","1209","1175","1090.88","28408","1.8","2003.15"
"Coari (AM)","2021","453","434","8079","7650","7290.73","302089","2.9","3187.29"
"Codajás (AM)","2021","50","46","1481","1448","1278.96","32577","1.8","1959.33"
"Eirunepé (AM)","2021","222","216","1771","1586","1592.12","41403","1.8","2000.40"
"Envira (AM)","2021","59","57","1487","1436","1258.80","31093","1.7","1900.02"
"Fonte Boa (AM)","2021","109","107","2297","2203","2048.96","43673","1.5","1639.60"
"Guajará (AM)","2021","38","37","697","667","661.17","13244","1.4","1540.85"
"Humaitá (AM)","2021","701","687","4334","3698","3560.97","103544","2.0","2236.73"
"Ipixuna (AM)","2021","30","30","409","390","379.46","8514","1.6","1725.93"
"Iranduba (AM)","2021","425","411","5283","4752","4530.95","122855","1.9","2085.74"
"Itacoatiara (AM)","2021","853","792","10615","9807","9195.45","265834","2.0","2223.80"
"Itamarati (AM)","2021","50","49","1208","1167","1011.69","21770","1.5","1655.27"
"Itapiranga (AM)","2021","50","49","771","736","622.64","17280","1.9","2134.82"
"Japurá (AM)","2021","38","34","1103","1076","881.99","17903","1.4","1561.40"
"Juruá (AM)","2021","45","43","900","865","796.28","16505","1.4","1594.43"
"Jutaí (AM)","2021","122","121","845","734","726.91","14689","1.4","1554.45"
"Lábrea (AM)","2021","133","131","2208","2094","1849.50","50097","1.9","2083.59"
"Manacapuru (AM)","2021","791","752","7012","6180","6953.21","186465","1.9","2062.85"
"Manaquiri (AM)","2021","63","58","1183","1135","943.30","25634","1.9","2090.34"
"Manaus (AM)","2021","32090","28737","554913","519130","507460.38","21748979","3.0","3296.81"
"Manicoré (AM)","2021","501","490","2739","2236","2146.78","58638","1.9","2101.12"
"Maraã (AM)","2021","27","26","840","820","771.91","16309","1.5","1625.25"
"Maués (AM)","2021","465","450","3741","3357","3160.46","70293","1.6","1710.89"
"Nhamundá (AM)","2021","70","64","1180","1142","1284.24","28933","1.6","1733.05"
"Nova Olinda do Norte (AM)","2021","105","104","1786","1686","2122.38","45990","1.5","1666.84"
"Novo Airão (AM)","2021","128","127","1780","1629","1459.00","36685","1.8","1934.14"
"Novo Aripuanã (AM)","2021","93","93","963","884","988.71","22497","1.6","1750.31"
"Parintins (AM)","2021","851","804","8340","7586","6893.75","163921","1.7","1829.10"
"Pauini (AM)","2021","29","29","1150","1138","1021.60","28618","2.0","2154.86"
"Presidente Figueiredo (AM)","2021","235","227","5910","5662","5200.49","249535","3.4","3691.00"
"Rio Preto da Eva (AM)","2021","192","188","2179","1868","1757.18","49374","2.0","2161.42"
"Santa Isabel do Rio Negro (AM)","2021","35","33","1081","1053","890.58","20932","1.6","1807.94"
"Santo Antônio do Içá (AM)","2021","99","88","1361","1287","1241.54","25846","1.5","1601.34"
"São Gabriel da Cachoeira (AM)","2021","256","245","2730","2503","2298.17","67156","2.0","2247.81"
"São Paulo de Olivença (AM)","2021","54","52","2203","2160","1976.31","54335","1.9","2114.87"
"São Sebastião do Uatumã (AM)","2021","57","56","691","646","621.09","17834","2.0","2208.77"
"Silves (AM)","2021","37","34","796","766","678.40","24276","2.5","2752.64"
"Tabatinga (AM)","2021","304","288","5104","4808","4323.43","116108","1.9","2065.81"
"Tapauá (AM)","2021","37","37","1673","1639","1550.49","32768","1.5","1625.69"
"Tefé (AM)","2021","519","494","8495","7973","6977.40","168572","1.7","1858.44"
"Tonantins (AM)","2021","36","35","1281","1257","1113.25","23644","1.5","1633.74"
"Uarini (AM)","2021","48","47","1092","1058","1388.02","26213","1.3","1452.73"
"Urucará (AM)","2021","92","90","1342","1274","1146.67","26326","1.6","1766.05"
"Urucurituba (AM)","2021","63","60","1631","1576","1485.93","33373","1.6","1727.65"
"Amajari (RR)","2021","30","29","634","610","501.41","12136","1.7","1861.88"
"Alto Alegre (RR)","2021","68","67","971","902","848.33","20856","1.7","1891.13"
"Boa Vista (RR)","2021","6942","6303","104139","96835","93847.96","4224767","3.1","3462.86"
"Bonfim (RR)","2021","76","76","966","891","927.76","23625","1.8","1958.79"
"Cantá (RR)","2021","116","112","1932","1793","1762.88","32914","1.3","1436.18"
"Caracaraí (RR)","2021","110","109","1590","1482","1407.92","40378","2.0","2206.08"
"Caroebe (RR)","2021","57","56","715","658","625.63","13737","1.5","1689.06"
"Iracema (RR)","2021","51","49","958","906","748.72","16033","1.5","1647.27"
"Mucajaí (RR)","2021","125","122","1250","1128","1050.68","25697","1.7","1881.33"
"Normandia (RR)","2021","30","30","757","730","647.28","17625","1.9","2094.54"
"Pacaraima (RR)","2021","147","142","1119","978","995.92","26457","1.9","2043.53"
"Rorainópolis (RR)","2021","304","298","2852","2555","2397.16","65713","1.9","2108.67"
"São João da Baliza (RR)","2021","74","73","1110","1030","980.22","23585","1.7","1850.85"
"São Luiz (RR)","2021","51","51","530","487","662.64","15367","1.6","1783.88"
"Uiramutã (RR)","2021","29","29","624","595","506.82","11318","1.6","1717.73"
"Abaetetuba (PA)","2021","1172","1133","13317","12083","11632.62","307189","1.8","2031.35"
"Abel Figueiredo (PA)","2021","61","61","769","704","699.52","15901","1.6","1748.53"
"Acará (PA)","2021","177","175","5469","5278","5067.31","148663","2.1","2256.74"
"Afuá (PA)","2021","67","65","2038","1959","2255.07","71331","2.2","2433.19"
"Água Azul do Norte (PA)","2021","119","116","2440","2326","2071.96","75504","2.5","2803.15"
"Alenquer (PA)","2021","322","313","3279","2941","2871.08","81452","2.0","2182.29"
"Almeirim (PA)","2021","401","386","5791","5387","4638.64","182737","2.8","3030.35"
"Altamira (PA)","2021","2219","2126","19902","17523","15604.32","489506","2.2","2413.07"
"Anajás (PA)","2021","107","104","2083","2009","1826.74","57251","2.2","2410.80"
"Ananindeua (PA)","2021","5626","5292","76783","70772","68610.46","1803350","1.8","2021.84"
"Anapu (PA)","2021","296","293","2362","2134","1942.81","50153","1.8","1985.76"
"Augusto Corrêa (PA)","2021","181","180","2956","2779","2450.27","71735","2.0","2252.02"
"Aurora do Pará (PA)","2021","128","127","1685","1578","1563.77","53011","2.4","2607.65"
"Aveiro (PA)","2021","70","67","779","742","727.31","22748","2.2","2405.96"
"Bagre (PA)","2021","57","56","835","783","782.03","16190","1.4","1592.50"
"Baião (PA)","2021","105","104","2195","2104","2017.22","60803","2.1","2318.62"
"Bannach (PA)","2021","47","47","489","447","452.09","13995","2.2","2381.22"
"Barcarena (PA)","2021","1659","1599","30530","28880","28256.53","1083313","2.7","2949.12"
"Belém (PA)","2021","22891","20781","431009","403619","399882.62","20109948","3.5","3868.43"
"Belterra (PA)","2021","117","112","1835","1700","1555.70","37178","1.7","1838.32"
"Benevides (PA)","2021","767","730","12709","11966","11384.05","323044","2.0","2182.84"
"Bom Jesus do Tocantins (PA)","2021","147","145","1427","1276","1222.63","34290","2.0","2157.40"
"Bonito (PA)","2021","67","65","2439","2372","2126.65","46011","1.5","1664.27"
"Bragança (PA)","2021","832","792","9344","8447","7868.91","227163","2.0","2220.65"
"Brasil Novo (PA)","2021","207","206","1768","1561","1458.00","38906","1.9","2052.65"
"Brejo Grande do Araguaia (PA)","2021","48","48","721","679","637.49","15765","1.7","1902.24"
"Breu Branco (PA)","2021","377","370","4021","3626","3350.08","103307","2.2","2372.08"
"Breves (PA)","2021","632","617","6642","6046","6487.75","227152","2.4","2693.27"
"Bujaru (PA)","2021","84","82","1711","1599","1499.34","40150","1.9","2059.87"
"Cachoeira do Piriá (PA)","2021","106","105","1745","1635","1331.77","35758","1.9","2065.38"
"Cachoeira do Arari (PA)","2021","107","101","1504","1426","1356.09","36504","1.9","2070.64"
"Cametá (PA)","2021","746","712","6975","6239","5981.44","213680","2.5","2747.99"
"Canaã dos Carajás (PA)","2021","1200","1183","22767","21577","19851.96","874948","3.1","3390.28"
"Capanema (PA)","2021","1093","1052","10296","9093","8817.83","218323","1.7","1904.56"
"Capitão Poço (PA)","2021","356","345","4989","4581","4071.63","80963","1.4","1529.60"
"Castanhal (PA)","2021","3599","3461","39176","35454","34431.19","822349","1.7","1837.22"
"Chaves (PA)","2021","40","39","1724","1696","1538.89","47097","2.1","2354.20"
"Colares (PA)","2021","28","28","578","552","552.44","15740","2.0","2191.61"
"Conceição do Araguaia (PA)","2021","542","519","4039","3569","3706.03","104531","2.0","2169.66"
"Concórdia do Pará (PA)","2021","204","203","3099","2860","2943.23","85478","2.0","2234.02"
"Cumaru do Norte (PA)","2021","107","102","1279","1178","1143.69","34524","2.1","2322.01"
"Curionópolis (PA)","2021","228","226","2926","2733","2595.64","111044","3.0","3290.83"
"Curralinho (PA)","2021","86","84","1835","1762","1686.11","57960","2.4","2644.22"
"Curuá (PA)","2021","58","58","1035","984","934.40","23458","1.8","1931.14"
"Curuçá (PA)","2021","188","187","2575","2253","2121.44","55669","1.8","2018.53"
"Dom Eliseu (PA)","2021","607","597","5121","4519","4653.28","125749","1.9","2078.74"
"Eldorado do Carajás (PA)","2021","272","268","2752","2507","2775.42","83452","2.1","2312.95"
"Faro (PA)","2021","50","48","871","836","840.38","18409","1.5","1685.06"
"Floresta do Araguaia (PA)","2021","135","135","1492","1372","1335.39","41859","2.2","2411.23"
"Garrafão do Norte (PA)","2021","110","110","2223","2100","1996.38","54125","1.9","2085.51"
"Goianésia do Pará (PA)","2021","268","262","3318","3030","2925.80","81006","1.9","2129.76"
"Gurupá (PA)","2021","166","165","3496","3337","2659.86","79240","2.1","2291.61"
"Igarapé-Açu (PA)","2021","282","275","2381","2082","2013.55","52187","1.8","1993.68"
"Igarapé-Miri (PA)","2021","412","403","3940","3510","3553.67","109719","2.2","2374.99"
"Inhangapi (PA)","2021","44","44","1033","988","911.89","23267","1.8","1962.72"
"Ipixuna do Pará (PA)","2021","179","177","3771","3584","3379.56","103455","2.1","2354.78"
"Irituia (PA)","2021","154","154","1806","1693","1587.94","39689","1.7","1922.59"
"Itaituba (PA)","2021","2546","2453","18109","15314","14483.14","477772","2.3","2537.55"
"Itupiranga (PA)","2021","339","336","2776","2455","2657.22","74743","2.0","2163.71"
"Jacareacanga (PA)","2021","228","223","1992","1771","1653.02","59623","2.5","2774.54"
"Jacundá (PA)","2021","434","432","4355","3807","3592.08","105084","2.0","2250.34"
"Juruti (PA)","2021","335","321","6459","6154","5485.95","267856","3.4","3755.83"
"Limoeiro do Ajuru (PA)","2021","51","50","1510","1453","1309.53","39738","2.1","2334.27"
"Mãe do Rio (PA)","2021","380","376","3007","2667","2488.88","73014","2.1","2256.62"
"Magalhães Barata (PA)","2021","27","26","546","526","475.36","10813","1.6","1749.75"
"Marabá (PA)","2021","5079","4766","59003","53582","52202.61","1964126","2.6","2894.23"
"Maracanã (PA)","2021","71","70","2313","2232","2112.15","53288","1.8","1940.71"
"Marapanim (PA)","2021","160","158","1883","1788","1721.37","39664","1.6","1772.49"
"Marituba (PA)","2021","1088","1059","18857","17774","17034.22","516380","2.1","2331.87"
