"Tabela 1685 - Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
"Município","Ano","Variável"
"Município","Ano","Número de unidades locais (Unidades)","Número de empresas e outras organizações atuantes (Unidades)","Pessoal ocupado total (Pessoas)","Pessoal ocupado assalariado (Pessoas)","Pessoal assalariado médio (Pessoas)","Salários e outras remunerações (Mil Reais)","Salário médio mensal (Salários mínimos)","Salário médio mensal em reais (Reais)"
"Galiléia (MG)","2021","137","135","866","692","727.73","15050","1.4","1590.82"
"Gameleiras (MG)","2021","46","46","494","460","482.93","10297","1.5","1640.23"
"Glaucilândia (MG)","2021","39","39","355","324","320.71","6835","1.5","1639.50"
"Goiabeira (MG)","2021","45","43","427","373","399.46","9074","1.6","1747.40"
"Goianá (MG)","2021","134","133","682","550","526.06","13890","1.8","2031.02"
"Gonçalves (MG)","2021","184","178","873","632","605.12","16125","1.9","2049.79"
"Gonzaga (MG)","2021","72","72","524","428","490.62","10742","1.5","1684.24"
"Gouveia (MG)","2021","260","252","2142","1796","1827.86","40039","1.5","1684.98"
"Governador Valadares (MG)","2021","8334","7915","65990","55224","54518.91","1532020","2.0","2161.59"
"Grão Mogol (MG)","2021","275","257","2051","1793","1716.19","39679","1.6","1778.49"
"Grupiara (MG)","2021","30","30","463","435","423.95","8569","1.4","1554.85"
"Guanhães (MG)","2021","1037","1010","8271","6819","6759.34","175106","1.8","1992.75"
"Guapé (MG)","2021","380","369","2470","1949","1816.58","44508","1.7","1884.68"
"Guaraciaba (MG)","2021","127","125","1992","1830","1589.59","35547","1.6","1720.18"
"Guaraciama (MG)","2021","92","89","484","379","370.25","8661","1.6","1799.31"
"Guaranésia (MG)","2021","522","504","5604","4956","4882.83","138228","2.0","2177.61"
"Guarani (MG)","2021","287","277","1623","1246","1194.15","28550","1.7","1839.07"
"Guarará (MG)","2021","88","88","661","568","557.05","11982","1.5","1654.54"
"Guarda-Mor (MG)","2021","233","230","1225","945","915.84","27214","2.1","2285.78"
"Guaxupé (MG)","2021","2149","2076","15615","13123","12771.83","405009","2.2","2439.32"
"Guidoval (MG)","2021","203","202","1544","1328","1291.23","28116","1.5","1674.98"
"Guimarânia (MG)","2021","177","176","883","684","800.88","21268","1.9","2042.75"
"Guiricema (MG)","2021","197","194","1303","1078","1025.79","20745","1.4","1555.67"
"Gurinhatã (MG)","2021","116","100","532","431","441.96","12184","1.9","2120.68"
"Heliodora (MG)","2021","120","118","856","715","705.15","16016","1.6","1747.18"
"Iapu (MG)","2021","217","216","1184","932","905.54","23130","1.8","1964.79"
"Ibertioga (MG)","2021","90","90","668","576","549.31","12671","1.6","1774.42"
"Ibiá (MG)","2021","549","531","3852","3298","3237.75","96980","2.1","2304.07"
"Ibiaí (MG)","2021","69","67","568","490","524.34","11003","1.5","1614.14"
"Ibiracatu (MG)","2021","70","70","410","375","411.05","8911","1.5","1667.60"
"Ibiraci (MG)","2021","265","260","1634","1310","1270.86","44117","2.4","2670.34"
"Ibirité (MG)","2021","2024","1971","20205","17717","18142.36","559638","2.2","2372.85"
"Ibitiúra de Minas (MG)","2021","74","73","400","307","293.26","7817","1.9","2050.39"
"Ibituruna (MG)","2021","77","77","385","315","308.24","7699","1.7","1921.24"
"Icaraí de Minas (MG)","2021","94","94","645","559","528.11","12060","1.6","1756.56"
"Igarapé (MG)","2021","1202","1178","9050","7091","7011.67","199944","2.0","2193.53"
"Igaratinga (MG)","2021","407","384","3611","3067","3037.47","74957","1.7","1898.27"
"Iguatama (MG)","2021","221","219","1518","1209","1218.24","35403","2.0","2235.44"
"Ijaci (MG)","2021","262","261","1749","1397","1458.01","53275","2.6","2810.72"
"Ilicínea (MG)","2021","247","238","1959","1644","1668.22","32172","1.3","1483.47"
"Imbé de Minas (MG)","2021","76","76","574","503","472.35","9075","1.3","1477.87"
"Inconfidentes (MG)","2021","230","226","1277","1044","1045.56","21048","1.4","1548.54"
"Indaiabira (MG)","2021","78","75","614","544","512.53","10256","1.4","1539.25"
"Indianópolis (MG)","2021","123","122","5232","5112","4586.00","229232","3.5","3845.02"
"Ingaí (MG)","2021","51","50","466","415","417.02","10948","1.8","2019.47"
"Inhapim (MG)","2021","529","522","3264","2585","2469.27","57641","1.6","1795.65"
"Inhaúma (MG)","2021","144","142","1336","1143","1087.64","26577","1.7","1879.66"
"Inimutaba (MG)","2021","113","110","910","785","782.69","16426","1.5","1614.38"
"Ipaba (MG)","2021","212","205","1756","1535","1466.34","31137","1.5","1633.40"
"Ipanema (MG)","2021","505","496","2956","2363","2306.66","52835","1.6","1761.94"
"Ipatinga (MG)","2021","8490","8091","79764","68225","68678.50","2334814","2.4","2615.10"
"Ipiaçu (MG)","2021","80","79","779","686","1146.32","31349","1.9","2103.67"
"Ipuiúna (MG)","2021","299","294","1478","1135","1064.13","28228","1.9","2040.53"
"Iraí de Minas (MG)","2021","263","258","1346","1048","1076.31","29820","1.9","2131.21"
"Itabira (MG)","2021","3251","3114","38916","34372","33272.10","1097919","2.3","2538.32"
"Itabirinha (MG)","2021","214","212","1446","1179","1140.46","23851","1.5","1608.71"
"Itabirito (MG)","2021","1920","1867","21097","18843","18558.10","682524","2.6","2829.05"
"Itacambira (MG)","2021","72","70","707","617","569.63","17014","2.1","2297.53"
"Itacarambi (MG)","2021","228","221","2262","1997","1957.67","49421","1.8","1941.89"
"Itaguara (MG)","2021","574","558","3770","3058","3051.59","78417","1.8","1976.71"
"Itaipé (MG)","2021","110","107","909","780","723.08","19825","1.9","2109.06"
"Itajubá (MG)","2021","3651","3526","28303","23298","22990.46","907450","2.8","3036.21"
"Itamarandiba (MG)","2021","923","884","5954","4992","4658.96","100628","1.5","1661.44"
"Itamarati de Minas (MG)","2021","104","94","652","553","559.64","12763","1.6","1754.29"
"Itambacuri (MG)","2021","276","267","2527","2180","2161.81","54599","1.8","1942.78"
"Itambé do Mato Dentro (MG)","2021","50","50","308","257","255.20","6187","1.7","1864.93"
"Itamogi (MG)","2021","263","258","1587","1299","1290.33","30227","1.6","1802.01"
"Itamonte (MG)","2021","427","414","3715","3196","2859.15","96196","2.4","2588.07"
"Itanhandu (MG)","2021","506","490","4392","3730","3700.14","100485","1.9","2089.01"
"Itanhomi (MG)","2021","233","231","1294","1024","969.00","23656","1.7","1877.92"
"Itaobim (MG)","2021","445","433","2851","2360","2426.93","53144","1.5","1684.43"
"Itapagipe (MG)","2021","376","360","3060","2629","2497.39","82704","2.3","2547.39"
"Itapecerica (MG)","2021","544","525","4034","3363","3263.83","90891","1.9","2142.14"
"Itapeva (MG)","2021","382","376","2374","1919","1893.09","60994","2.3","2478.40"
"Itatiaiuçu (MG)","2021","324","319","4625","4235","3871.39","202138","3.7","4016.40"
"Itaú de Minas (MG)","2021","522","518","3767","3162","3278.79","97841","2.1","2295.42"
"Itaúna (MG)","2021","4064","3945","33799","28020","27468.19","847129","2.2","2372.34"
"Itaverava (MG)","2021","92","91","653","551","518.20","11836","1.6","1756.92"
"Itinga (MG)","2021","172","160","943","795","824.62","22807","1.9","2127.47"
"Itueta (MG)","2021","105","105","679","569","540.26","14282","1.8","2033.51"
"Ituiutaba (MG)","2021","2668","2571","23078","19821","19362.01","538975","1.9","2141.29"
"Itumirim (MG)","2021","98","96","507","386","380.85","10527","1.9","2126.19"
"Iturama (MG)","2021","1450","1420","11900","10077","10411.77","348397","2.3","2573.99"
"Itutinga (MG)","2021","97","93","691","577","573.28","13519","1.6","1814.05"
"Jaboticatubas (MG)","2021","448","433","2625","2086","2153.51","55431","1.8","1979.98"
"Jacinto (MG)","2021","135","134","943","808","877.52","20579","1.6","1803.93"
"Jacuí (MG)","2021","209","207","933","711","700.56","17294","1.7","1898.97"
"Jacutinga (MG)","2021","1140","1052","7866","6557","6593.72","187553","2.0","2188.02"
"Jaguaraçu (MG)","2021","67","67","787","708","748.07","15971","1.5","1642.30"
"Jaíba (MG)","2021","575","543","6483","5815","5171.77","137787","1.9","2049.40"
"Jampruca (MG)","2021","47","42","419","380","370.76","9353","1.8","1940.54"
"Janaúba (MG)","2021","1931","1865","16230","14097","13003.20","321645","1.7","1902.76"
"Januária (MG)","2021","1086","1031","6539","5402","5244.14","131812","1.8","1933.46"
"Japaraíba (MG)","2021","138","133","898","744","684.70","16320","1.7","1833.45"
"Japonvar (MG)","2021","86","84","631","563","557.93","12093","1.5","1667.23"
"Jeceaba (MG)","2021","169","167","3911","3761","3603.29","270206","5.2","5768.37"
"Jenipapo de Minas (MG)","2021","396","395","2832","468","455.18","9851","1.5","1664.81"
"Jequeri (MG)","2021","179","178","1194","963","910.51","22369","1.7","1889.81"
"Jequitaí (MG)","2021","106","104","836","726","685.68","16199","1.7","1817.31"
"Jequitibá (MG)","2021","163","163","1021","807","747.51","17409","1.6","1791.51"
"Jequitinhonha (MG)","2021","291","280","2079","1795","1628.01","40779","1.8","1926.79"
"Jesuânia (MG)","2021","71","71","481","404","391.82","9836","1.8","1930.99"
"Joaíma (MG)","2021","133","128","1086","978","989.24","23977","1.7","1864.48"
"Joanésia (MG)","2021","60","59","428","368","376.50","9304","1.7","1900.91"
"João Monlevade (MG)","2021","2688","2609","23377","19833","19528.81","624165","2.2","2458.56"
"João Pinheiro (MG)","2021","1680","1604","15616","13453","13597.65","352420","1.8","1993.67"
"Joaquim Felício (MG)","2021","55","54","547","499","478.25","11075","1.6","1781.35"
"Jordânia (MG)","2021","68","68","717","658","646.30","14306","1.5","1702.68"
"José Gonçalves de Minas (MG)","2021","65","61","372","314","320.01","7617","1.7","1830.86"
"José Raydan (MG)","2021","70","68","601","540","520.31","10463","1.4","1546.79"
"Josenópolis (MG)","2021","69","68","843","790","759.67","18288","1.7","1851.77"
"Nova União (MG)","2021","138","134","863","679","610.10","15210","1.7","1917.69"
"Juatuba (MG)","2021","585","578","7692","6963","6992.69","264246","2.6","2906.84"
"Juiz de Fora (MG)","2021","22448","21200","169331","140392","140033.29","4805576","2.4","2639.80"
"Juramento (MG)","2021","65","65","423","365","344.47","7667","1.6","1712.12"
"Juruaia (MG)","2021","413","404","2901","2466","2455.58","50968","1.5","1596.60"
"Juvenília (MG)","2021","54","54","502","453","430.60","9578","1.6","1711.11"
"Ladainha (MG)","2021","69","66","851","784","733.32","17102","1.6","1793.90"
"Lagamar (MG)","2021","171","165","781","632","655.91","16694","1.8","1957.77"
"Lagoa da Prata (MG)","2021","1884","1835","15565","12737","12680.32","396700","2.2","2406.52"
"Lagoa dos Patos (MG)","2021","61","59","427","375","370.09","8116","1.5","1686.87"
"Lagoa Dourada (MG)","2021","277","273","1859","1537","1477.34","38604","1.8","2010.07"
"Lagoa Formosa (MG)","2021","422","417","2818","2371","2660.26","72925","1.9","2108.66"
"Lagoa Grande (MG)","2021","172","167","1207","1024","1029.02","24842","1.7","1857.03"
"Lagoa Santa (MG)","2021","2428","2371","22003","18803","18104.69","683236","2.6","2902.93"
"Lajinha (MG)","2021","368","361","2727","2269","2231.15","58535","1.8","2018.11"
"Lambari (MG)","2021","591","582","3614","2910","2687.84","66396","1.7","1900.18"
"Lamim (MG)","2021","83","82","484","384","368.82","8237","1.6","1717.87"
"Laranjal (MG)","2021","198","198","1029","776","751.83","21216","2.0","2170.73"
"Lassance (MG)","2021","121","119","1461","1317","1264.09","32302","1.8","1965.67"
"Lavras (MG)","2021","3929","3798","30234","24802","24213.69","868460","2.5","2758.96"
"Leandro Ferreira (MG)","2021","70","69","381","316","306.22","8865","2.0","2226.97"
"Leme do Prado (MG)","2021","107","106","461","371","434.85","10397","1.7","1839.13"
"Leopoldina (MG)","2021","1441","1397","11436","9514","9361.99","234973","1.8","1930.66"
"Liberdade (MG)","2021","123","120","644","518","506.50","12329","1.7","1872.41"
"Lima Duarte (MG)","2021","486","462","2941","2387","2286.08","49246","1.5","1657.04"
"Limeira do Oeste (MG)","2021","197","193","2371","2142","2432.64","92171","2.6","2914.56"
"Lontra (MG)","2021","120","118","821","703","731.59","14158","1.4","1488.67"
"Luisburgo (MG)","2021","69","69","467","404","399.70","10764","1.9","2071.62"
"Luislândia (MG)","2021","54","52","459","410","398.92","8962","1.6","1728.15"
"Luminárias (MG)","2021","124","120","879","749","790.63","16694","1.5","1624.20"
"Luz (MG)","2021","689","672","4342","3332","3403.51","90753","1.9","2051.13"
"Machacalis (MG)","2021","114","114","634","520","507.39","12814","1.8","1942.65"
"Machado (MG)","2021","1374","1336","8950","7196","7140.13","207126","2.0","2231.43"
"Madre de Deus de Minas (MG)","2021","141","135","814","672","668.18","16897","1.8","1945.20"
"Malacacheta (MG)","2021","286","276","1913","1548","1460.61","33848","1.6","1782.61"
"Mamonas (MG)","2021","94","94","580","503","467.56","9943","1.5","1635.89"
"Manga (MG)","2021","296","290","1981","1681","1708.10","38240","1.6","1722.12"
"Manhuaçu (MG)","2021","2896","2783","26538","22820","22615.26","610340","1.9","2076.00"
"Manhumirim (MG)","2021","612","596","3753","3075","3043.89","74904","1.7","1892.92"
"Mantena (MG)","2021","814","779","5159","4235","4154.94","93251","1.6","1726.41"
"Maravilhas (MG)","2021","212","207","1703","1459","1377.07","29739","1.5","1661.22"
"Mar de Espanha (MG)","2021","468","460","3607","3031","3186.31","53486","1.2","1291.24"
"Maria da Fé (MG)","2021","299","293","1725","1346","1314.93","33227","1.8","1943.77"
"Mariana (MG)","2021","1903","1844","19620","17328","17229.70","598517","2.4","2672.12"
"Marilac (MG)","2021","54","54","394","329","367.51","8127","1.5","1701.03"
"Mário Campos (MG)","2021","211","210","1784","1528","1398.12","32951","1.6","1812.95"
"Maripá de Minas (MG)","2021","88","86","850","758","740.82","15553","1.5","1614.91"
"Marliéria (MG)","2021","79","79","604","509","514.75","12322","1.7","1841.39"
"Marmelópolis (MG)","2021","61","61","303","244","235.49","6527","1.9","2131.95"
"Martinho Campos (MG)","2021","605","561","4701","3946","3819.81","94443","1.7","1901.89"
"Martins Soares (MG)","2021","133","132","713","550","705.25","18493","1.8","2017.10"
"Mata Verde (MG)","2021","98","98","581","483","479.21","11770","1.7","1889.35"
"Materlândia (MG)","2021","42","42","368","317","309.11","7363","1.7","1832.22"
"Mateus Leme (MG)","2021","768","741","7082","5971","6371.13","155553","1.7","1878.10"
"Matias Barbosa (MG)","2021","592","578","5663","4891","4977.58","167151","2.3","2583.14"
"Matias Cardoso (MG)","2021","88","82","1013","933","851.26","18526","1.5","1674.09"
"Matipó (MG)","2021","299","290","2485","2163","2013.66","52170","1.8","1992.94"
"Mato Verde (MG)","2021","326","326","1454","1099","1105.21","22233","1.4","1547.42"
"Matozinhos (MG)","2021","920","898","11757","10606","11825.09","308641","1.8","2007.73"
"Matutina (MG)","2021","90","88","617","487","482.78","11670","1.7","1859.41"
"Medeiros (MG)","2021","88","86","611","507","496.06","12399","1.7","1922.66"
"Medina (MG)","2021","295","291","1861","1578","1642.30","43481","1.9","2036.61"
"Mendes Pimentel (MG)","2021","122","119","657","515","515.28","11535","1.6","1721.98"
"Mercês (MG)","2021","176","171","1241","1047","980.82","20479","1.5","1606.13"
"Mesquita (MG)","2021","77","77","513","435","421.58","9061","1.5","1653.28"
"Minas Novas (MG)","2021","469","446","2501","2069","2338.22","50100","1.5","1648.18"
"Minduri (MG)","2021","85","84","651","567","615.59","14684","1.7","1834.84"
"Mirabela (MG)","2021","231","226","1287","1057","1042.16","22059","1.5","1628.20"
"Miradouro (MG)","2021","256","253","1205","994","1044.87","21571","1.4","1588.06"
"Miraí (MG)","2021","372","361","2849","2420","2537.96","60402","1.7","1830.71"
"Miravânia (MG)","2021","49","48","409","360","357.70","7980","1.6","1716.03"
"Moeda (MG)","2021","112","111","801","667","657.90","17820","1.9","2083.50"
"Moema (MG)","2021","210","208","1181","929","933.58","21744","1.6","1791.60"
"Monjolos (MG)","2021","40","39","303","278","297.16","8264","1.9","2139.12"
"Monsenhor Paulo (MG)","2021","224","223","1427","1141","1182.55","26624","1.6","1731.88"
"Montalvânia (MG)","2021","245","244","1464","1228","1188.79","24757","1.5","1601.93"
"Monte Alegre de Minas (MG)","2021","466","442","3100","2596","2685.20","69346","1.8","1986.57"
"Monte Azul (MG)","2021","417","413","2223","1803","1736.29","36024","1.5","1595.99"
"Monte Belo (MG)","2021","364","354","4750","4309","4566.93","118521","1.8","1996.30"
"Monte Carmelo (MG)","2021","1745","1698","10489","8299","8346.06","212553","1.8","1959.04"
"Monte Formoso (MG)","2021","36","35","372","340","295.03","6560","1.6","1710.49"
"Monte Santo de Minas (MG)","2021","758","743","4078","3197","3181.30","76330","1.7","1845.65"
"Montes Claros (MG)","2021","13394","12674","109684","92887","89855.38","2676255","2.1","2291.08"
"Monte Sião (MG)","2021","1331","1254","6449","4877","4745.96","117312","1.7","1901.41"
"Montezuma (MG)","2021","108","106","844","758","725.68","14338","1.4","1519.81"
"Morada Nova de Minas (MG)","2021","302","289","2528","2138","2082.22","54292","1.8","2005.68"
"Morro da Garça (MG)","2021","33","33","343","303","302.59","6958","1.6","1768.94"
"Morro do Pilar (MG)","2021","54","51","361","302","312.02","7652","1.7","1886.59"
"Munhoz (MG)","2021","119","116","732","599","665.07","16698","1.8","1931.37"
"Muriaé (MG)","2021","4140","3950","28966","24112","23965.12","610512","1.8","1959.62"
"Mutum (MG)","2021","459","449","3188","2644","2599.73","66579","1.8","1970.00"
"Muzambinho (MG)","2021","741","726","4244","3283","3396.58","97829","2.0","2215.55"
"Nacip Raydan (MG)","2021","30","30","270","249","240.77","5718","1.7","1826.85"
"Nanuque (MG)","2021","892","859","6303","5355","5229.19","134309","1.8","1975.72"
"Naque (MG)","2021","102","101","779","662","651.60","14312","1.5","1689.56"
"Natalândia (MG)","2021","77","76","574","529","503.62","12474","1.7","1905.34"
"Natércia (MG)","2021","112","109","639","499","467.01","10914","1.6","1797.66"
"Nazareno (MG)","2021","199","195","1638","1447","1416.39","44066","2.2","2393.18"
"Nepomuceno (MG)","2021","554","535","3595","2925","2814.47","72253","1.8","1974.77"
"Ninheira (MG)","2021","105","102","779","685","712.42","16165","1.6","1745.42"
"Nova Belém (MG)","2021","31","31","271","247","279.81","6178","1.5","1698.36"
"Nova Era (MG)","2021","425","418","4421","3865","3977.40","119918","2.1","2319.23"
"Nova Lima (MG)","2021","6338","6194","66632","57292","56489.13","2954549","3.7","4023.31"
"Nova Módica (MG)","2021","64","62","449","384","345.55","9659","2.0","2150.21"
"Nova Ponte (MG)","2021","536","532","3712","3143","3390.00","85523","1.8","1940.61"
"Nova Porteirinha (MG)","2021","120","116","1058","906","894.59","22464","1.8","1931.58"
"Nova Resende (MG)","2021","394","391","2076","1595","1554.29","39665","1.8","1963.07"
"Nova Serrana (MG)","2021","2968","2893","28675","24729","24977.38","609609","1.7","1877.42"
"Novo Cruzeiro (MG)","2021","285","278","2085","1766","1880.26","42498","1.6","1738.64"
"Novo Oriente de Minas (MG)","2021","106","103","758","650","627.24","15916","1.8","1951.84"
"Novorizonte (MG)","2021","71","67","678","609","460.60","10347","1.6","1727.96"
"Olaria (MG)","2021","37","37","352","318","313.94","7225","1.6","1770.24"
"Olhos-d'Água (MG)","2021","159","153","1357","1209","1188.07","26801","1.6","1735.29"
"Olímpio Noronha (MG)","2021","53","52","336","285","269.29","8018","2.1","2290.47"
"Oliveira (MG)","2021","1331","1281","10520","8816","8819.83","214421","1.7","1870.09"
"Oliveira Fortes (MG)","2021","48","48","308","249","242.48","5411","1.6","1716.47"
"Onça de Pitangui (MG)","2021","45","45","268","229","231.37","7385","2.2","2455.40"
"Oratórios (MG)","2021","78","78","542","452","452.26","12478","1.9","2122.25"
"Orizânia (MG)","2021","103","101","647","546","544.81","12181","1.6","1719.90"
"Ouro Branco (MG)","2021","1466","1430","15543","13700","13842.09","744621","3.8","4138.00"
"Ouro Fino (MG)","2021","1207","1176","7188","5723","5652.62","148984","1.8","2027.44"
"Ouro Preto (MG)","2021","2076","1999","20898","18353","18401.50","866754","3.3","3623.26"
"Ouro Verde de Minas (MG)","2021","57","57","518","451","395.63","9234","1.6","1795.37"
"Padre Carvalho (MG)","2021","84","79","589","508","506.11","9951","1.4","1512.41"
"Padre Paraíso (MG)","2021","267","262","1680","1369","1418.42","37491","1.8","2033.18"
"Paineiras (MG)","2021","98","94","582","489","457.50","11260","1.7","1893.27"
"Pains (MG)","2021","303","294","2941","2499","2549.41","71706","2.0","2163.57"
"Pai Pedro (MG)","2021","96","95","547","442","441.39","9299","1.5","1620.65"
"Paiva (MG)","2021","36","35","293","255","232.05","5166","1.6","1712.53"
"Palma (MG)","2021","164","162","777","585","575.61","13207","1.6","1764.89"
"Palmópolis (MG)","2021","58","54","466","414","420.83","9178","1.5","1677.59"
"Papagaios (MG)","2021","574","532","4182","3473","3413.01","73848","1.5","1664.40"
"Paracatu (MG)","2021","2630","2564","24829","21392","22675.40","867027","2.7","2941.26"
"Pará de Minas (MG)","2021","3370","3232","32256","27666","27537.28","785499","2.0","2194.23"
"Paraguaçu (MG)","2021","729","707","5205","4380","4285.25","98389","1.6","1766.14"
"Paraisópolis (MG)","2021","482","474","5447","4846","4751.56","140147","2.1","2268.84"
"Paraopeba (MG)","2021","711","696","8522","7626","7409.68","226068","2.1","2346.91"
"Passabém (MG)","2021","19","19","222","203","202.27","4756","1.6","1808.62"
"Passa Quatro (MG)","2021","426","414","3584","3013","2912.07","79306","1.9","2094.88"
"Passa Tempo (MG)","2021","190","178","1699","1497","1496.83","45778","2.1","2352.55"
"Passa Vinte (MG)","2021","45","45","393","350","336.92","7536","1.6","1720.45"
"Passos (MG)","2021","4046","3927","27279","22428","22335.33","634255","2.0","2184.38"
"Patis (MG)","2021","35","35","419","391","403.36","8383","1.5","1598.76"
"Patos de Minas (MG)","2021","7349","7124","51856","41710","40530.61","1296715","2.2","2461.04"
"Patrocínio (MG)","2021","3470","3366","23563","19252","19005.42","560669","2.1","2269.27"
"Patrocínio do Muriaé (MG)","2021","115","114","912","776","764.04","17330","1.6","1744.75"
"Paula Cândido (MG)","2021","114","113","755","617","614.45","13422","1.5","1680.25"
"Paulistas (MG)","2021","81","79","512","431","421.80","9888","1.6","1803.21"
"Pavão (MG)","2021","85","85","646","561","542.25","12811","1.7","1817.30"
"Peçanha (MG)","2021","201","199","1599","1364","1349.93","31313","1.6","1784.33"
"Pedra Azul (MG)","2021","348","323","2939","2636","2491.35","66358","1.9","2048.88"
"Pedra Bonita (MG)","2021","72","71","536","468","421.94","10619","1.8","1935.94"
"Pedra do Anta (MG)","2021","69","69","486","409","387.63","10894","2.0","2161.83"
"Pedra do Indaiá (MG)","2021","137","134","1173","1021","1078.68","25860","1.7","1844.11"
"Pedra Dourada (MG)","2021","34","34","368","336","351.16","8115","1.6","1777.66"
"Pedralva (MG)","2021","271","269","1443","1082","1035.97","24845","1.7","1844.81"
"Pedras de Maria da Cruz (MG)","2021","122","121","692","570","581.39","14894","1.8","1970.60"
"Pedrinópolis (MG)","2021","103","103","672","531","533.01","14628","1.9","2111.10"
"Pedro Leopoldo (MG)","2021","1849","1781","17961","15496","14837.09","496352","2.3","2573.34"
"Pedro Teixeira (MG)","2021","33","33","292","255","240.01","5105","1.5","1636.08"
"Pequeri (MG)","2021","122","113","796","681","713.08","15765","1.5","1700.68"
"Pequi (MG)","2021","89","86","529","446","489.44","11226","1.6","1764.28"
"Perdigão (MG)","2021","395","391","2585","2104","2202.62","51704","1.6","1805.69"
"Perdizes (MG)","2021","406","395","3941","3496","3326.70","93935","2.0","2172.05"
"Perdões (MG)","2021","738","726","5150","4214","4175.59","115578","1.9","2129.19"
"Periquito (MG)","2021","63","60","683","623","780.33","16134","1.4","1590.41"
"Pescador (MG)","2021","46","44","420","379","364.41","8363","1.6","1765.30"
"Piau (MG)","2021","44","44","338","278","271.75","6349","1.6","1797.26"
"Piedade de Caratinga (MG)","2021","184","184","795","600","591.62","15575","1.8","2025.12"
"Piedade de Ponte Nova (MG)","2021","63","62","509","422","411.95","10099","1.7","1885.73"
"Piedade do Rio Grande (MG)","2021","99","99","629","532","562.78","12573","1.6","1718.52"
"Piedade dos Gerais (MG)","2021","123","122","532","416","403.47","9668","1.7","1843.31"
"Pimenta (MG)","2021","245","244","1997","1692","1759.79","45861","1.8","2004.64"
"Pingo-d'Água (MG)","2021","101","101","667","548","507.71","9815","1.4","1487.03"
"Pintópolis (MG)","2021","99","98","572","485","488.09","10918","1.6","1720.69"
"Piracema (MG)","2021","135","130","940","770","728.68","17620","1.7","1860.10"
"Pirajuba (MG)","2021","159","155","2205","2042","2348.56","99764","3.0","3267.60"
"Piranga (MG)","2021","246","244","1400","1098","1075.37","27308","1.8","1953.39"
"Piranguçu (MG)","2021","92","91","509","406","399.59","10960","1.9","2109.84"
"Piranguinho (MG)","2021","243","236","1229","947","893.14","21664","1.7","1865.82"
"Pirapetinga (MG)","2021","282","279","2435","2097","2233.84","68662","2.1","2364.41"
"Pirapora (MG)","2021","1630","1561","15815","13943","13627.72","396032","2.0","2235.45"
"Piraúba (MG)","2021","379","376","2588","2135","2078.14","41715","1.4","1544.11"
"Pitangui (MG)","2021","888","861","5489","4295","4241.18","106076","1.7","1923.91"
"Piumhi (MG)","2021","1294","1256","8884","7168","7111.64","182261","1.8","1971.43"
"Planura (MG)","2021","224","217","1435","1198","1185.00","37468","2.2","2432.21"
"Poço Fundo (MG)","2021","445","428","2401","1849","1756.03","45310","1.8","1984.79"
"Poços de Caldas (MG)","2021","7237","6882","57428","47661","46152.80","1559839","2.4","2599.79"
"Pocrane (MG)","2021","102","100","720","618","591.50","13649","1.6","1775.06"
"Pompéu (MG)","2021","986","926","6464","5319","5236.47","141339","1.9","2076.25"
"Ponte Nova (MG)","2021","2044","1964","18605","15698","15663.04","407374","1.8","2000.66"
"Ponto Chique (MG)","2021","43","43","461","411","451.70","9013","1.4","1534.80"
"Ponto dos Volantes (MG)","2021","95","87","885","803","749.46","15245","1.4","1564.74"
"Porteirinha (MG)","2021","811","797","3912","2979","2899.58","74402","1.8","1973.81"
"Porto Firme (MG)","2021","187","182","924","672","641.20","14729","1.6","1767.05"
"Poté (MG)","2021","154","148","1232","1032","1011.49","24385","1.7","1854.46"
"Pouso Alegre (MG)","2021","6666","6377","60801","52073","51382.19","1778387","2.4","2662.38"
"Pouso Alto (MG)","2021","199","193","1520","1289","1309.33","35630","1.9","2093.29"
"Prados (MG)","2021","218","216","1980","1728","1917.50","38107","1.4","1528.71"
"Prata (MG)","2021","948","925","6657","5655","5613.21","159252","2.0","2182.38"
"Pratápolis (MG)","2021","284","282","1428","1089","1052.36","26763","1.8","1956.26"
"Pratinha (MG)","2021","72","71","379","312","395.61","11309","2.0","2199.04"
"Presidente Bernardes (MG)","2021","91","90","564","452","432.99","8885","1.4","1578.45"
"Presidente Juscelino (MG)","2021","60","60","475","411","391.94","8946","1.6","1755.84"
"Presidente Kubitschek (MG)","2021","50","48","381","349","322.71","7814","1.7","1862.58"
"Presidente Olegário (MG)","2021","394","385","2985","2523","2302.52","60797","1.8","2031.12"
"Alto Jequitibá (MG)","2021","153","150","820","680","655.94","15826","1.7","1855.89"
"Prudente de Morais (MG)","2021","240","236","1720","1456","1388.75","37535","1.9","2079.09"
"Quartel Geral (MG)","2021","63","58","440","381","377.53","8709","1.6","1774.54"
"Queluzito (MG)","2021","50","50","335","267","253.00","6174","1.7","1877.17"
"Raposos (MG)","2021","167","166","1265","1052","1138.39","28503","1.8","1925.98"
"Raul Soares (MG)","2021","540","530","2910","2321","2312.13","58234","1.8","1937.39"
"Recreio (MG)","2021","156","153","1228","1062","1014.23","20917","1.4","1586.44"
"Reduto (MG)","2021","121","120","716","582","587.47","14588","1.7","1910.15"
"Resende Costa (MG)","2021","376","360","1724","1303","1267.07","29460","1.6","1788.52"
